fecha,turno,dia_semana,horario,cantidad
18/11/2019,siesta,lunes,De 12:30 hs. a 12:45 hs.,283
19/11/2019,siesta,martes,De 12:30 hs. a 12:45 hs.,267
20/11/2019,siesta,miercoles,De 12:30 hs. a 12:45 hs.,262
21/11/2019,siesta,jueves,De 12:30 hs. a 12:45 hs.,235
22/11/2019,siesta,viernes,De 12:30 hs. a 12:45 hs.,278
23/11/2019,siesta,sabado,De 12:30 hs. a 12:45 hs.,211
24/11/2019,siesta,domingo,De 12:30 hs. a 12:45 hs.,186
25/11/2019,siesta,lunes,De 12:30 hs. a 12:45 hs.,309
26/11/2019,siesta,martes,De 12:30 hs. a 12:45 hs.,349
27/11/2019,siesta,miercoles,De 12:30 hs. a 12:45 hs.,305
28/11/2019,siesta,jueves,De 12:30 hs. a 12:45 hs.,298
29/11/2019,siesta,viernes,De 12:30 hs. a 12:45 hs.,284
30/11/2019,siesta,sabado,De 12:30 hs. a 12:45 hs.,452
01/11/2019,siesta,viernes,De 12:45 hs. a 13:00 hs.,271
02/11/2019,siesta,sabado,De 12:45 hs. a 13:00 hs.,231
03/11/2019,siesta,domingo,De 12:45 hs. a 13:00 hs.,204
04/11/2019,siesta,lunes,De 12:45 hs. a 13:00 hs.,269
05/11/2019,siesta,martes,De 12:45 hs. a 13:00 hs.,225
06/11/2019,siesta,miercoles,De 12:45 hs. a 13:00 hs.,264
07/11/2019,siesta,jueves,De 12:45 hs. a 13:00 hs.,252
08/11/2019,siesta,viernes,De 12:45 hs. a 13:00 hs.,236
09/11/2019,siesta,sabado,De 12:45 hs. a 13:00 hs.,228
10/11/2019,siesta,domingo,De 12:45 hs. a 13:00 hs.,188
11/11/2019,siesta,lunes,De 12:45 hs. a 13:00 hs.,257
12/11/2019,siesta,martes,De 12:45 hs. a 13:00 hs.,238
13/11/2019,siesta,miercoles,De 12:45 hs. a 13:00 hs.,321
14/11/2019,siesta,jueves,De 12:45 hs. a 13:00 hs.,282
15/11/2019,siesta,viernes,De 12:45 hs. a 13:00 hs.,316
16/11/2019,siesta,sabado,De 12:45 hs. a 13:00 hs.,280
17/11/2019,siesta,domingo,De 12:45 hs. a 13:00 hs.,277
18/11/2019,siesta,lunes,De 12:45 hs. a 13:00 hs.,304
19/11/2019,siesta,martes,De 12:45 hs. a 13:00 hs.,233
20/11/2019,siesta,miercoles,De 12:45 hs. a 13:00 hs.,281
21/11/2019,siesta,jueves,De 12:45 hs. a 13:00 hs.,246
22/11/2019,siesta,viernes,De 12:45 hs. a 13:00 hs.,272
23/11/2019,siesta,sabado,De 12:45 hs. a 13:00 hs.,226
24/11/2019,siesta,domingo,De 12:45 hs. a 13:00 hs.,178
25/11/2019,siesta,lunes,De 12:45 hs. a 13:00 hs.,313
26/11/2019,siesta,martes,De 12:45 hs. a 13:00 hs.,269
27/11/2019,siesta,miercoles,De 12:45 hs. a 13:00 hs.,312
28/11/2019,siesta,jueves,De 12:45 hs. a 13:00 hs.,277
29/11/2019,siesta,viernes,De 12:45 hs. a 13:00 hs.,313
30/11/2019,siesta,sabado,De 12:45 hs. a 13:00 hs.,383
01/11/2019,siesta,viernes,De 13:00 hs. a 13:15 hs.,274
02/11/2019,siesta,sabado,De 13:00 hs. a 13:15 hs.,251
03/11/2019,siesta,domingo,De 13:00 hs. a 13:15 hs.,202
04/11/2019,siesta,lunes,De 13:00 hs. a 13:15 hs.,228
05/11/2019,siesta,martes,De 13:00 hs. a 13:15 hs.,231
06/11/2019,siesta,miercoles,De 13:00 hs. a 13:15 hs.,245
07/11/2019,siesta,jueves,De 13:00 hs. a 13:15 hs.,251
08/11/2019,siesta,viernes,De 13:00 hs. a 13:15 hs.,0
09/11/2019,siesta,sabado,De 13:00 hs. a 13:15 hs.,224
10/11/2019,siesta,domingo,De 13:00 hs. a 13:15 hs.,170
11/11/2019,siesta,lunes,De 13:00 hs. a 13:15 hs.,227
12/11/2019,siesta,martes,De 13:00 hs. a 13:15 hs.,278
13/11/2019,siesta,miercoles,De 13:00 hs. a 13:15 hs.,316
14/11/2019,siesta,jueves,De 13:00 hs. a 13:15 hs.,259
15/11/2019,siesta,viernes,De 13:00 hs. a 13:15 hs.,277
16/11/2019,siesta,sabado,De 13:00 hs. a 13:15 hs.,275
17/11/2019,siesta,domingo,De 13:00 hs. a 13:15 hs.,282
18/11/2019,siesta,lunes,De 13:00 hs. a 13:15 hs.,283
19/11/2019,siesta,martes,De 13:00 hs. a 13:15 hs.,251
20/11/2019,siesta,miercoles,De 13:00 hs. a 13:15 hs.,265
21/11/2019,siesta,jueves,De 13:00 hs. a 13:15 hs.,263
22/11/2019,siesta,viernes,De 13:00 hs. a 13:15 hs.,276
23/11/2019,siesta,sabado,De 13:00 hs. a 13:15 hs.,248
24/11/2019,siesta,domingo,De 13:00 hs. a 13:15 hs.,188
25/11/2019,siesta,lunes,De 13:00 hs. a 13:15 hs.,309
26/11/2019,siesta,martes,De 13:00 hs. a 13:15 hs.,305
27/11/2019,siesta,miercoles,De 13:00 hs. a 13:15 hs.,291
28/11/2019,siesta,jueves,De 13:00 hs. a 13:15 hs.,301
29/11/2019,siesta,viernes,De 13:00 hs. a 13:15 hs.,279
30/11/2019,siesta,sabado,De 13:00 hs. a 13:15 hs.,473
01/11/2019,siesta,viernes,De 13:15 hs. a 13:30 hs.,280
02/11/2019,siesta,sabado,De 13:15 hs. a 13:30 hs.,210
03/11/2019,siesta,domingo,De 13:15 hs. a 13:30 hs.,181
04/11/2019,siesta,lunes,De 13:15 hs. a 13:30 hs.,241
05/11/2019,siesta,martes,De 13:15 hs. a 13:30 hs.,224
06/11/2019,siesta,miercoles,De 13:15 hs. a 13:30 hs.,268
07/11/2019,siesta,jueves,De 13:15 hs. a 13:30 hs.,229
08/11/2019,siesta,viernes,De 13:15 hs. a 13:30 hs.,194
09/11/2019,siesta,sabado,De 13:15 hs. a 13:30 hs.,234
10/11/2019,siesta,domingo,De 13:15 hs. a 13:30 hs.,193
11/11/2019,siesta,lunes,De 13:15 hs. a 13:30 hs.,234
12/11/2019,siesta,martes,De 13:15 hs. a 13:30 hs.,236
13/11/2019,siesta,miercoles,De 13:15 hs. a 13:30 hs.,336
14/11/2019,siesta,jueves,De 13:15 hs. a 13:30 hs.,333
15/11/2019,siesta,viernes,De 13:15 hs. a 13:30 hs.,274
16/11/2019,siesta,sabado,De 13:15 hs. a 13:30 hs.,295
17/11/2019,siesta,domingo,De 13:15 hs. a 13:30 hs.,220
18/11/2019,siesta,lunes,De 13:15 hs. a 13:30 hs.,258
19/11/2019,siesta,martes,De 13:15 hs. a 13:30 hs.,255
20/11/2019,siesta,miercoles,De 13:15 hs. a 13:30 hs.,258
21/11/2019,siesta,jueves,De 13:15 hs. a 13:30 hs.,225
22/11/2019,siesta,viernes,De 13:15 hs. a 13:30 hs.,241
23/11/2019,siesta,sabado,De 13:15 hs. a 13:30 hs.,232
24/11/2019,siesta,domingo,De 13:15 hs. a 13:30 hs.,186
25/11/2019,siesta,lunes,De 13:15 hs. a 13:30 hs.,332
26/11/2019,siesta,martes,De 13:15 hs. a 13:30 hs.,288
27/11/2019,siesta,miercoles,De 13:15 hs. a 13:30 hs.,316
28/11/2019,siesta,jueves,De 13:15 hs. a 13:30 hs.,296
29/11/2019,siesta,viernes,De 13:15 hs. a 13:30 hs.,345
30/11/2019,siesta,sabado,De 13:15 hs. a 13:30 hs.,363
01/11/2019,siesta,viernes,De 13:30 hs. a 13:45 hs.,245
02/11/2019,siesta,sabado,De 13:30 hs. a 13:45 hs.,214
03/11/2019,siesta,domingo,De 13:30 hs. a 13:45 hs.,200
04/11/2019,siesta,lunes,De 13:30 hs. a 13:45 hs.,209
05/11/2019,siesta,martes,De 13:30 hs. a 13:45 hs.,238
06/11/2019,siesta,miercoles,De 13:30 hs. a 13:45 hs.,239
07/11/2019,siesta,jueves,De 13:30 hs. a 13:45 hs.,254
08/11/2019,siesta,viernes,De 13:30 hs. a 13:45 hs.,269
09/11/2019,siesta,sabado,De 13:30 hs. a 13:45 hs.,204
10/11/2019,siesta,domingo,De 13:30 hs. a 13:45 hs.,158
11/11/2019,siesta,lunes,De 13:30 hs. a 13:45 hs.,260
12/11/2019,siesta,martes,De 13:30 hs. a 13:45 hs.,231
13/11/2019,siesta,miercoles,De 13:30 hs. a 13:45 hs.,287
14/11/2019,siesta,jueves,De 13:30 hs. a 13:45 hs.,347
15/11/2019,siesta,viernes,De 13:30 hs. a 13:45 hs.,324
16/11/2019,siesta,sabado,De 13:30 hs. a 13:45 hs.,282
17/11/2019,siesta,domingo,De 13:30 hs. a 13:45 hs.,217
18/11/2019,siesta,lunes,De 13:30 hs. a 13:45 hs.,257
19/11/2019,siesta,martes,De 13:30 hs. a 13:45 hs.,239
20/11/2019,siesta,miercoles,De 13:30 hs. a 13:45 hs.,252
21/11/2019,siesta,jueves,De 13:30 hs. a 13:45 hs.,242
22/11/2019,siesta,viernes,De 13:30 hs. a 13:45 hs.,247
23/11/2019,siesta,sabado,De 13:30 hs. a 13:45 hs.,220
24/11/2019,siesta,domingo,De 13:30 hs. a 13:45 hs.,168
25/11/2019,siesta,lunes,De 13:30 hs. a 13:45 hs.,302
26/11/2019,siesta,martes,De 13:30 hs. a 13:45 hs.,309
27/11/2019,siesta,miercoles,De 13:30 hs. a 13:45 hs.,290
28/11/2019,siesta,jueves,De 13:30 hs. a 13:45 hs.,294
29/11/2019,siesta,viernes,De 13:30 hs. a 13:45 hs.,298
30/11/2019,siesta,sabado,De 13:30 hs. a 13:45 hs.,394
01/11/2019,siesta,viernes,De 13:45 hs. a 14:00 hs.,297
02/11/2019,siesta,sabado,De 13:45 hs. a 14:00 hs.,210
03/11/2019,siesta,domingo,De 13:45 hs. a 14:00 hs.,192
04/11/2019,siesta,lunes,De 13:45 hs. a 14:00 hs.,249
05/11/2019,siesta,martes,De 13:45 hs. a 14:00 hs.,217
06/11/2019,siesta,miercoles,De 13:45 hs. a 14:00 hs.,243
07/11/2019,siesta,jueves,De 13:45 hs. a 14:00 hs.,281
08/11/2019,siesta,viernes,De 13:45 hs. a 14:00 hs.,253
09/11/2019,siesta,sabado,De 13:45 hs. a 14:00 hs.,237
10/11/2019,siesta,domingo,De 13:45 hs. a 14:00 hs.,156
11/11/2019,siesta,lunes,De 13:45 hs. a 14:00 hs.,230
12/11/2019,siesta,martes,De 13:45 hs. a 14:00 hs.,247
13/11/2019,siesta,miercoles,De 13:45 hs. a 14:00 hs.,326
14/11/2019,siesta,jueves,De 13:45 hs. a 14:00 hs.,333
15/11/2019,siesta,viernes,De 13:45 hs. a 14:00 hs.,316
16/11/2019,siesta,sabado,De 13:45 hs. a 14:00 hs.,279
17/11/2019,siesta,domingo,De 13:45 hs. a 14:00 hs.,271
18/11/2019,siesta,lunes,De 13:45 hs. a 14:00 hs.,3
19/11/2019,siesta,martes,De 13:45 hs. a 14:00 hs.,265
20/11/2019,siesta,miercoles,De 13:45 hs. a 14:00 hs.,251
21/11/2019,siesta,jueves,De 13:45 hs. a 14:00 hs.,246
22/11/2019,siesta,viernes,De 13:45 hs. a 14:00 hs.,282
23/11/2019,siesta,sabado,De 13:45 hs. a 14:00 hs.,222
24/11/2019,siesta,domingo,De 13:45 hs. a 14:00 hs.,169
25/11/2019,siesta,lunes,De 13:45 hs. a 14:00 hs.,357
